MF PT 3 Elec IAQ Range + EE - Source Energy|Total (*),MF PT 3 Elec IAQ Range + EE - Site Energy|Total (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Total (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Cooling (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Heating Fan/Pump (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Lights (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Lg. Appl. (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Vent Fan (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Misc. (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Total (G),MF PT 3 Elec IAQ Range + EE - Source Energy|Total (G),MF PT 3 Elec IAQ Range + EE - Site Energy|Heating (G),MF PT 3 Elec IAQ Range + EE - Site Energy|Hot Water (G),MF PT 3 Elec IAQ Range + EE - Source Energy|Cooling (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Heating Fan/Pump (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Lights (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Lg. Appl. (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Vent Fan (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Misc. (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Heating (G),MF PT 3 Elec IAQ Range + EE - Source Energy|Hot Water (G),MF PT 3 Elec IAQ Range + EE - Living Space|Indoor Temperature,MF PT 3 Elec IAQ Range + EE - Living Space|Heating Setpoint,MF PT 3 Elec IAQ Range + EE - Living Space|Cooling Setpoint,MF PT 3 Elec IAQ Range + EE - Living Space|Indoor Humidity,MF PT 3 Elec IAQ Range + EE - Living Space|Indoor Relative Humidity,MF PT 3 Elec IAQ Range + EE - Living Space|Wind Speed (at Building),MF PT 3 Elec IAQ Range + EE - Living Space|Infiltration + Mech. Vent.,MF PT 3 Elec IAQ Range + EE - Living Space|Infiltration,MF PT 3 Elec IAQ Range + EE - Living Space|Mech. Vent. (rated),MF PT 3 Elec IAQ Range + EE - Living Space|Natural Ventilation,MF PT 3 Elec IAQ Range + EE - Living Space|System Flow Rate to Zone,MF PT 3 Elec IAQ Range + EE - Living Space|Zone Glazing Transmitted Solar,MF PT 3 Elec IAQ Range + EE - Living Space|Latent Gains/Losses,MF PT 3 Elec IAQ Range + EE - Domestic Water System|Hot Water Use Flow Rate,MF PT 3 Elec IAQ Range + EE - Domestic Water System|Cold Water Use Flow Rate,MF PT 3 Elec IAQ Range + EE - Domestic Water System|Water Heater Inlet Temperature,MF PT 3 Elec IAQ Range + EE - Domestic Water System|Delivered Hot Water Temperature,MF PT 3 Elec IAQ Range + EE - Delivered Energy|Heating Delivered (main),MF PT 3 Elec IAQ Range + EE - Delivered Energy|Cooling Delivered (sensible),MF PT 3 Elec IAQ Range + EE - Delivered Energy|Cooling Delivered (latent),MF PT 3 Elec IAQ Range + EE - Delivered Energy|DHW Delivered Energy,MF PT 3 Elec IAQ Range + EE - Delivered Energy|DHW Pipe Heat Losses - Unit,MF PT 3 Elec IAQ Range + EE - HVAC System|Total Supply Air Flow Rate,MF PT 3 Elec IAQ Range + EE - HVAC System|Supply Air Temperature,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Drybulb,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Wetbulb,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Dew Point,MF PT 3 Elec IAQ Range + EE - Weather|Ground Temperature,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Humidity Ratio,MF PT 3 Elec IAQ Range + EE - Weather|Direct Normal Solar,MF PT 3 Elec IAQ Range + EE - Weather|Total Horizontal Solar,MF PT 3 Elec IAQ Range + EE - Weather|Diffuse Horizontal Solar,MF PT 3 Elec IAQ Range + EE - Weather|Wind Speed (at Weather Station),MF PT 3 Elec IAQ Range + EE - Weather|Wind Direction,MF PT 3 Elec IAQ Range + EE - Weather|Atmospheric Pressure,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Air Density,MF PT 3 Elec IAQ Range + EE - Weather|Sky Temperature,MF PT 3 Elec IAQ Range + EE - Weather|Sky Radiation Losses,MF PT 3 Elec IAQ Range + EE - Weather|Total Vertical Solar,MF PT 3 Elec IAQ Range + EE - Weather|Mains Water Temperature
8395.9863,0.659463,7087.772715,0,0,0.165978,0.137682,0,0.355803,1200.19595,1308.213585,0,1200.19595,0,0,1783.894634,1479.776783,0,3824.101298,0,1308.213585,72.315403,64,95,0.003366,19.634245,0,33.641615,33.641615,0,0,0,0,177.273384,1.057479,0.354651,64.696598,125.082281,0,0,0,533.002246,178.669954,0,73.085389,47,35.377797,15.8,61.095585,0.001842,0,0,0,0,200,0.97508,0.076116,13.72505,85.982228,0,64.696598
7468.616558,0.576736,6198.639656,0,0,0.141075,0.101205,0,0.334455,1165.116424,1269.976902,0,1165.116424,0,0,1516.25009,1087.734346,0,3594.65522,0,1269.976902,70.425442,64,95,0.003391,21.081355,0.030654,32.827364,32.827364,0,0,0,0,146.306246,0.693776,0.22784,64.696598,124.666234,0,0,0,347.859935,161.655068,0,73.085389,45.875,34.916372,16.325,61.095585,0.001909,0,0,0,0.058333,200,0.97508,0.076277,12.667816,85.216181,0,64.696598
6717.674193,0.513012,5513.747423,0,0,0.106834,0.085955,0,0.320223,1104.519973,1203.92677,0,1104.519973,0,0,1148.229343,923.826911,0,3441.691168,0,1203.92677,68.374886,64,95,0.003413,22.765812,0.113856,31.808013,31.808013,0,0,0,0,167.982382,0,0,64.696598,124.623907,0,0,0,0,131.885846,0,73.085389,45.08,34.624987,17.12,61.095585,0.001971,0,0,0,0.216667,200,0.97508,0.07639,12.044759,84.767118,0,64.696598
4810.570901,0.447587,4810.570901,0,0,0.091924,0.07102,0,0.284643,0,0,0,0,0,0,987.978818,763.311044,0,3059.281039,0,0,67.1193,64,95,0.003438,23.936421,0.188301,31.172146,31.172146,0,0,0,0,162.54707,0.160187,0.051975,64.696598,124.660047,0,0,0,80.079528,114.870961,0,73.085389,44.36,34.334201,17.84,61.095585,0.002017,0,0,0,0.358333,200,0.97508,0.076493,11.603146,84.450133,0,64.696598
5053.423197,0.358114,3848.938043,0,0,0.04129,0.060646,0,0.256178,1105.032251,1204.485154,0,1105.032251,0,0,443.771363,651.813745,0,2753.352935,0,1204.485154,65.542031,64,95,0.003462,25.458534,0.24085,30.539993,30.539993,0,0,0,0,161.581,0,0,64.696598,124.765299,0,0,0,0,63.798993,0,73.085389,43.64,34.097261,18.56,61.095585,0.002084,0,0,0,0.458333,200,0.97508,0.076594,11.160288,84.133148,0,64.696598
3476.382641,0.323451,3476.382641,0,0,0.020502,0.053886,0,0.249062,0,0,0,0,0,0,220.351421,579.160312,0,2676.870909,0,0,64.470657,64,95,0.003486,26.609558,0.293399,30.157818,30.157818,0,0,0,0,168.560751,0,0,64.696598,124.765299,0,0,0,0,17.014886,0,73.085389,42.92,33.934712,19.28,61.095585,0.002181,0,0,0,0.558333,118.333333,0.97508,0.076692,10.716176,83.816163,0,64.638645
6628.283794,0.311204,3344.756464,0,0.011286,0.012301,0.052787,0,0.23483,3012.410395,3283.52733,648.819679,2363.590716,0,121.295875,132.210853,567.342879,0,2523.906857,707.21345,2576.31388,64.119864,64,95,0.003512,27.13655,0.376602,30.572772,30.572772,0,0,8.380539,0,201.673699,1.597994,0.521897,64.679804,124.784264,389.291807,0,0,801.167401,8.521098,8.380539,147.402815,42.095,33.731865,20.105,61.095585,0.002286,0,0,0,0.716667,60,0.97508,0.076805,10.009952,83.31427,0,64.638645
4749.802364,0.313109,3365.237751,0,0.029752,0.008201,0.047442,0,0.227714,1270.242764,1384.564613,1270.242764,0,0,319.773906,88.140568,509.898446,0,2447.424831,1384.564613,0,64.22058,64,95,0.00354,27.253097,0.451046,31.551782,31.551782,0,0,16.408406,0,171.582507,0,0,64.639672,124.829585,762.145658,0,0,0,2.130275,16.408406,147.336852,41.3,33.445949,20.9,61.095585,0.002352,0,0,0,0.858333,60,0.97508,0.076919,9.37624,82.865207,0,64.638645
6756.506166,0.320666,3446.456831,0,0.045525,0.008201,0.046343,0,0.220598,3036.742509,3310.049334,1931.415565,1105.326943,0,489.292445,88.140568,498.081013,0,2370.942805,2105.242966,1204.806368,64.325272,64,95,0.003564,27.341758,0.503595,32.424535,32.424535,0,0,24.948216,0,173.961142,0,0,64.639672,124.829585,1158.849339,0,0,0,2.130275,24.948216,147.240843,40.58,33.22675,21.62,61.095585,0.002427,0,0,0,0.958333,60,0.97508,0.077021,8.927032,82.548222,0,64.638645
6209.176057,0.342359,3679.60593,0,0.056039,0.009117,0.049488,0,0.227714,2320.706539,2529.570127,2320.706539,0,0,602.298041,97.992477,531.890581,0,2447.424831,2529.570127,0,64.385558,64,95,0.00359,27.482209,0.586798,33.391947,33.391947,0,0,29.972706,0,184.079121,0,0,64.639672,124.829585,1392.423923,0,0,0,8.521098,29.972706,147.123522,39.86,33.048449,22.34,61.095585,0.002519,0,0,0,1.116667,60,0.97508,0.07712,8.476528,82.231237,0,64.638645
