SF PT 3 Elec All Elec + EE - Source Energy|Total (*),SF PT 3 Elec All Elec + EE - Site Energy|Total (E),SF PT 3 Elec All Elec + EE - Source Energy|Total (E),SF PT 3 Elec All Elec + EE - Site Energy|Cooling (E),SF PT 3 Elec All Elec + EE - Site Energy|Heating (E),SF PT 3 Elec All Elec + EE - Site Energy|Cooling Fan/Pump (E),SF PT 3 Elec All Elec + EE - Site Energy|Heating Fan/Pump (E),SF PT 3 Elec All Elec + EE - Site Energy|Hot Water (E),SF PT 3 Elec All Elec + EE - Site Energy|Hot Water - Suppl. (E),SF PT 3 Elec All Elec + EE - Site Energy|Lights (E),SF PT 3 Elec All Elec + EE - Site Energy|Lg. Appl. (E),SF PT 3 Elec All Elec + EE - Site Energy|Vent Fan (E),SF PT 3 Elec All Elec + EE - Site Energy|Misc. (E),SF PT 3 Elec All Elec + EE - Source Energy|Cooling (E),SF PT 3 Elec All Elec + EE - Source Energy|Heating (E),SF PT 3 Elec All Elec + EE - Source Energy|Cooling Fan/Pump (E),SF PT 3 Elec All Elec + EE - Source Energy|Heating Fan/Pump (E),SF PT 3 Elec All Elec + EE - Source Energy|Hot Water (E),SF PT 3 Elec All Elec + EE - Source Energy|Hot Water - Suppl. (E),SF PT 3 Elec All Elec + EE - Source Energy|Lights (E),SF PT 3 Elec All Elec + EE - Source Energy|Lg. Appl. (E),SF PT 3 Elec All Elec + EE - Source Energy|Vent Fan (E),SF PT 3 Elec All Elec + EE - Source Energy|Misc. (E),SF PT 3 Elec All Elec + EE - Living Space|Indoor Temperature,SF PT 3 Elec All Elec + EE - Living Space|Heating Setpoint,SF PT 3 Elec All Elec + EE - Living Space|Cooling Setpoint,SF PT 3 Elec All Elec + EE - Living Space|Indoor Humidity,SF PT 3 Elec All Elec + EE - Living Space|Indoor Relative Humidity,SF PT 3 Elec All Elec + EE - Living Space|Wind Speed (at Building),SF PT 3 Elec All Elec + EE - Living Space|Infiltration + Mech. Vent.,SF PT 3 Elec All Elec + EE - Living Space|Infiltration,SF PT 3 Elec All Elec + EE - Living Space|Mech. Vent. (rated),SF PT 3 Elec All Elec + EE - Living Space|Natural Ventilation,SF PT 3 Elec All Elec + EE - Living Space|System Flow Rate to Zone,SF PT 3 Elec All Elec + EE - Living Space|Zone Glazing Transmitted Solar,SF PT 3 Elec All Elec + EE - Living Space|Latent Gains/Losses,SF PT 3 Elec All Elec + EE - Domestic Water System|Hot Water Use Flow Rate,SF PT 3 Elec All Elec + EE - Domestic Water System|Cold Water Use Flow Rate,SF PT 3 Elec All Elec + EE - Domestic Water System|Water Heater Inlet Temperature,SF PT 3 Elec All Elec + EE - Domestic Water System|Delivered Hot Water Temperature,SF PT 3 Elec All Elec + EE - Domestic Water System|HPWH Sensible Heat Removed (inc. fan heat),SF PT 3 Elec All Elec + EE - Domestic Water System|HPWH Latent Heat Removed,SF PT 3 Elec All Elec + EE - Delivered Energy|Heating Delivered (main),SF PT 3 Elec All Elec + EE - Delivered Energy|Cooling Delivered (sensible),SF PT 3 Elec All Elec + EE - Delivered Energy|Cooling Delivered (latent),SF PT 3 Elec All Elec + EE - Delivered Energy|DHW Delivered Energy,SF PT 3 Elec All Elec + EE - Delivered Energy|DHW Pipe Heat Losses - Unit,SF PT 3 Elec All Elec + EE - Weather|Outdoor Drybulb,SF PT 3 Elec All Elec + EE - Weather|Outdoor Wetbulb,SF PT 3 Elec All Elec + EE - Weather|Outdoor Dew Point,SF PT 3 Elec All Elec + EE - Weather|Ground Temperature,SF PT 3 Elec All Elec + EE - Weather|Outdoor Humidity Ratio,SF PT 3 Elec All Elec + EE - Weather|Direct Normal Solar,SF PT 3 Elec All Elec + EE - Weather|Total Horizontal Solar,SF PT 3 Elec All Elec + EE - Weather|Diffuse Horizontal Solar,SF PT 3 Elec All Elec + EE - Weather|Wind Speed (at Weather Station),SF PT 3 Elec All Elec + EE - Weather|Wind Direction,SF PT 3 Elec All Elec + EE - Weather|Atmospheric Pressure,SF PT 3 Elec All Elec + EE - Weather|Outdoor Air Density,SF PT 3 Elec All Elec + EE - Weather|Sky Temperature,SF PT 3 Elec All Elec + EE - Weather|Sky Radiation Losses,SF PT 3 Elec All Elec + EE - Weather|Total Vertical Solar,SF PT 3 Elec All Elec + EE - Weather|Mains Water Temperature
7120.016115,0.662463,7120.016115,0,0,0,0,0.003,0,0.165978,0.137682,0,0.355803,0,0,0,0,32.2434,0,1783.894634,1479.776783,0,3824.101298,72.046685,64,95,0.003514,20.68086,0,31.609741,31.609741,0,0,0,0,169.441171,1.0481,0.36403,64.696598,126.275067,0,0,0,0,0,533.002246,178.669954,47,35.377797,15.8,61.095585,0.001842,0,0,0,0,200,0.97508,0.076116,13.72505,85.982228,0,64.696598
7761.802059,0.722176,7761.802059,0,0,0,0,0.14544,0,0.141075,0.101205,0,0.334455,0,0,0,0,1563.162403,0,1516.25009,1087.734346,0,3594.65522,69.910761,64,95,0.003537,22.391486,0.030654,30.852868,30.852868,0,0,0,0,138.401157,0.694569,0.227047,64.696598,124.681818,669.791026,0,0,0,0,347.859935,161.655068,45.875,34.916372,16.325,61.095585,0.001909,0,0,0,0.058333,200,0.97508,0.076277,12.667816,85.216181,0,64.696598
7774.299755,0.723339,7774.299755,0,0,0,0,0.210327,0,0.106834,0.085955,0,0.320223,0,0,0,0,2260.552332,0,1148.229343,923.826911,0,3441.691168,65.854472,64,95,0.003554,25.852869,0.113856,27.706988,27.706988,0,0,0,0,178.007093,0,0,64.696598,124.65635,705.247106,0,0,0,0,0,131.885846,45.08,34.624987,17.12,61.095585,0.001971,0,0,0,0.216667,200,0.97508,0.07639,12.044759,84.767118,0,64.696598
5654.421384,0.5261,5654.421384,0,0,0,0,0.078514,0,0.091924,0.07102,0,0.284643,0,0,0,0,843.850484,0,987.978818,763.311044,0,3059.281039,66.476328,64,95,0.003576,25.45595,0.188301,28.915663,28.915663,0,0,0,0,158.580972,0.160495,0.051667,64.696598,124.621757,439.815759,0,0,0,0,80.079528,114.870961,44.36,34.334201,17.84,61.095585,0.002017,0,0,0,0.358333,200,0.97508,0.076493,11.603146,84.450133,0,64.696598
4117.524231,0.383104,4117.524231,0,0.01194,0,0.000317,0.012733,0,0.04129,0.060646,0,0.256178,0,128.329465,0,3.404503,136.852221,0,443.771363,651.813745,0,2753.352935,64.61991,64,95,0.003596,27.300049,0.24085,28.048475,28.048475,0,0,4.878787,0,159.962759,0,0,64.696598,124.521013,0,0,430.174149,0,0,0,63.798993,43.64,34.097261,18.56,61.095585,0.002084,0,0,0,0.458333,200,0.97508,0.076594,11.160288,84.133148,0,64.696598
4725.927426,0.439711,4725.927426,0,0.039282,0,0.00093,0.076048,0,0.020502,0.053886,0,0.249062,0,422.196003,0,9.999096,817.349686,0,220.351421,579.160312,0,2676.870909,64.077242,64,95,0.003619,28.001018,0.293399,28.125782,28.125782,0,0,16.157248,0,163.143354,0,0,64.696598,124.521013,399.033579,0,539.693645,0,0,0,17.014886,42.92,33.934712,19.28,61.095585,0.002181,0,0,0,0.558333,118.333333,0.97508,0.076692,10.716176,83.816163,0,64.638645
3925.244228,0.365214,3925.244228,0,0.061021,0,0.001274,0.003,0,0.012301,0.052787,0,0.23483,0,655.846616,0,13.693623,32.2434,0,132.210853,567.342879,0,2523.906857,64,64,95,0.003644,28.271893,0.376602,28.814351,28.814351,0,0,22.783192,0,193.42111,1.609262,0.51063,64.679784,124.4722,0,0,760.99735,0,0,801.167401,8.521098,42.095,33.731865,20.105,61.095585,0.002286,0,0,0,0.716667,60,0.97508,0.076805,10.009952,83.31427,0,64.638645
5704.099456,0.530723,5704.099456,0,0.140617,0,0.003508,0.103241,0,0.008201,0.047442,0,0.227714,0,1511.320579,0,37.701009,1109.614023,0,88.140568,509.898446,0,2447.424831,64,64,95,0.003671,28.481839,0.451046,29.645137,29.645137,0,0,56.481213,0,163.382739,0,0,64.639643,124.355669,564.665636,0,1886.495717,0,0,0,2.130275,41.3,33.445949,20.9,61.095585,0.002352,0,0,0,0.858333,60,0.97508,0.076919,9.37624,82.865207,0,64.638645
5414.884806,0.503813,5414.884806,0,0.158799,0,0.003363,0.066509,0,0.008201,0.046343,0,0.220598,0,1706.743618,0,36.147226,714.829575,0,88.140568,498.081013,0,2370.942805,64,64,95,0.003695,28.666401,0.503595,30.385258,30.385258,0,0,64.22456,0,165.645004,0,0,64.639643,124.355669,345.90809,0,2145.040804,0,0,0,2.130275,40.58,33.22675,21.62,61.095585,0.002427,0,0,0,0.958333,60,0.97508,0.077021,8.927032,82.548222,0,64.638645
4995.674999,0.464809,4995.674999,0,0.170447,0,0.005042,0.003,0,0.009117,0.049488,0,0.227714,0,1831.929932,0,54.193778,32.2434,0,97.992477,531.890581,0,2447.424831,64,64,95,0.00372,28.858561,0.586798,31.24022,31.24022,0,0,70.386059,0,175.30022,0,0,64.639643,124.355669,0,0,2151.58917,0,0,0,8.521098,39.86,33.048449,22.34,61.095585,0.002519,0,0,0,1.116667,60,0.97508,0.07712,8.476528,82.231237,0,64.638645
