MF PT 3 Baseline - Source Energy|Total (*),MF PT 3 Baseline - Site Energy|Total (E),MF PT 3 Baseline - Source Energy|Total (E),MF PT 3 Baseline - Site Energy|Cooling (E),MF PT 3 Baseline - Site Energy|Heating Fan/Pump (E),MF PT 3 Baseline - Site Energy|Lights (E),MF PT 3 Baseline - Site Energy|Lg. Appl. (E),MF PT 3 Baseline - Site Energy|Vent Fan (E),MF PT 3 Baseline - Site Energy|Misc. (E),MF PT 3 Baseline - Site Energy|Total (G),MF PT 3 Baseline - Source Energy|Total (G),MF PT 3 Baseline - Site Energy|Heating (G),MF PT 3 Baseline - Site Energy|Hot Water (G),MF PT 3 Baseline - Site Energy|Lg. Appl. (G),MF PT 3 Baseline - Source Energy|Cooling (E),MF PT 3 Baseline - Source Energy|Heating Fan/Pump (E),MF PT 3 Baseline - Source Energy|Lights (E),MF PT 3 Baseline - Source Energy|Lg. Appl. (E),MF PT 3 Baseline - Source Energy|Vent Fan (E),MF PT 3 Baseline - Source Energy|Misc. (E),MF PT 3 Baseline - Source Energy|Heating (G),MF PT 3 Baseline - Source Energy|Hot Water (G),MF PT 3 Baseline - Source Energy|Lg. Appl. (G),MF PT 3 Baseline - Living Space|Indoor Temperature,MF PT 3 Baseline - Living Space|Heating Setpoint,MF PT 3 Baseline - Living Space|Cooling Setpoint,MF PT 3 Baseline - Living Space|Indoor Humidity,MF PT 3 Baseline - Living Space|Indoor Relative Humidity,MF PT 3 Baseline - Living Space|Wind Speed (at Building),MF PT 3 Baseline - Living Space|Infiltration + Mech. Vent.,MF PT 3 Baseline - Living Space|Infiltration,MF PT 3 Baseline - Living Space|Mech. Vent. (rated),MF PT 3 Baseline - Living Space|Natural Ventilation,MF PT 3 Baseline - Living Space|System Flow Rate to Zone,MF PT 3 Baseline - Living Space|Zone Glazing Transmitted Solar,MF PT 3 Baseline - Living Space|Latent Gains/Losses,MF PT 3 Baseline - Domestic Water System|Hot Water Use Flow Rate,MF PT 3 Baseline - Domestic Water System|Cold Water Use Flow Rate,MF PT 3 Baseline - Domestic Water System|Water Heater Inlet Temperature,MF PT 3 Baseline - Domestic Water System|Delivered Hot Water Temperature,MF PT 3 Baseline - Delivered Energy|Heating Delivered (main),MF PT 3 Baseline - Delivered Energy|Cooling Delivered (sensible),MF PT 3 Baseline - Delivered Energy|Cooling Delivered (latent),MF PT 3 Baseline - Delivered Energy|DHW Delivered Energy,MF PT 3 Baseline - Delivered Energy|DHW Pipe Heat Losses - Unit,MF PT 3 Baseline - HVAC System|Total Supply Air Flow Rate,MF PT 3 Baseline - HVAC System|Supply Air Temperature,MF PT 3 Baseline - Weather|Outdoor Drybulb,MF PT 3 Baseline - Weather|Outdoor Wetbulb,MF PT 3 Baseline - Weather|Outdoor Dew Point,MF PT 3 Baseline - Weather|Ground Temperature,MF PT 3 Baseline - Weather|Outdoor Humidity Ratio,MF PT 3 Baseline - Weather|Direct Normal Solar,MF PT 3 Baseline - Weather|Total Horizontal Solar,MF PT 3 Baseline - Weather|Diffuse Horizontal Solar,MF PT 3 Baseline - Weather|Wind Speed (at Weather Station),MF PT 3 Baseline - Weather|Wind Direction,MF PT 3 Baseline - Weather|Atmospheric Pressure,MF PT 3 Baseline - Weather|Outdoor Air Density,MF PT 3 Baseline - Weather|Sky Temperature,MF PT 3 Baseline - Weather|Sky Radiation Losses,MF PT 3 Baseline - Weather|Total Vertical Solar,MF PT 3 Baseline - Weather|Mains Water Temperature
Btu,kWh,Btu,kWh,kWh,kWh,kWh,kWh,kWh,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,lb/lb,%,m/s,cfm,cfm,cfm,cfm,cfm,Btu,Btu,gph,gph,F,F,Btu,Btu,Btu,Btu,Btu,cfm,F,F,F,F,F,lb/lb,Btu/sqft,Btu/sqft,Btu/sqft,m/s,Deg,Atm,lbm/cuft,F,Btu/sqft,Btu/sqft,F
8872.440629,0.651211,6999.0834,0,0,0.228264,0.067143,0,0.355803,1718.676357,1873.357229,0,1206.321548,512.354809,0,0,2453.338411,721.643691,0,3824.101298,0,1314.890487,558.466742,69.345616,64,95,0.003448,22.252035,0,31.134125,31.134125,0,0,0,0,213.839297,1.110916,0.374179,64.696598,125.152854,0,0,0,560.54281,230.335131,0,71.438171,47,35.377797,15.8,61.095585,0.001842,0,0,0,0,200,0.97508,0.076116,13.72505,85.982228,0,64.696598
7925.979282,0.58853,6325.399915,0,0,0.194017,0.060058,0,0.334455,1468.421437,1600.579367,0,1169.547799,298.873639,0,0,2085.254652,645.490042,0,3594.65522,0,1274.8071,325.772266,65.80468,64,95,0.003474,25.331173,0.030654,28.898941,28.898941,0,0,0,0,180.775416,0.729823,0.239413,64.696598,125.300699,0,0,0,365.834084,208.400128,0,71.438171,45.875,34.916372,16.325,61.095585,0.001909,0,0,0,0.058333,200,0.97508,0.076277,12.667816,85.216181,0,64.696598
8476.895329,0.54299,5835.945484,0,0.019277,0.146926,0.056564,0,0.320223,2422.889767,2640.949846,1104.067407,1105.341189,213.48117,0,207.18977,1579.126422,607.938123,0,3441.691168,1203.433473,1204.821896,232.694476,64.189629,64,95,0.003501,26.989211,0.113856,27.616258,27.616258,0,0,14.223786,0,198.495716,0,0,64.696598,125.388523,662.440444,0,0,0,170.022676,14.223786,133.356088,45.08,34.624987,17.12,61.095585,0.001971,0,0,0,0.216667,200,0.97508,0.07639,12.044759,84.767118,0,64.696598
9730.960332,0.540398,5808.086314,0,0.077125,0.12642,0.05221,0,0.284643,3598.966989,3922.874018,3462.33904,0,136.627949,0,828.92452,1358.738535,561.14222,0,3059.281039,3773.949554,0,148.924465,64.510942,64,95,0.003528,26.890452,0.188301,28.558135,28.558135,0,0,44.602841,0,176.248935,0.167092,0.056032,64.696598,125.294506,2077.403424,0,0,84.21729,148.087673,44.602841,145.638379,44.36,34.334201,17.84,61.095585,0.002017,0,0,0,0.358333,200,0.97508,0.076493,11.603146,84.450133,0,64.696598
11694.50363,0.475853,5114.373104,0,0.115176,0.056784,0.047714,0,0.256178,6036.816999,6580.130529,4837.635239,1105.250044,93.931715,0,1237.891642,610.305849,512.822678,0,2753.352935,5273.022411,1204.722549,102.385569,64.699186,64,95,0.003552,26.898075,0.24085,29.476778,29.476778,0,0,62.30553,0,161.124072,0,0,64.696598,125.02104,2902.581144,0,0,0,82.247457,62.30553,145.46303,43.64,34.097261,18.56,61.095585,0.002084,0,0,0,0.458333,200,0.97508,0.076594,11.160288,84.133148,0,64.696598
11621.18336,0.466894,5018.084328,0,0.143979,0.028196,0.045657,0,0.249062,6057.889023,6603.099035,5998.114296,0,59.774728,0,1547.459067,303.042901,490.711451,0,2676.870909,6537.944582,0,65.154453,64.848114,64,95,0.003575,26.929747,0.293399,30.341969,30.341969,0,0,77.227571,0,157.44396,0,0,64.696598,125.02104,3598.868577,0,0,0,21.935002,77.227571,145.249656,42.92,33.934712,19.28,61.095585,0.002181,0,0,0,0.558333,118.333333,0.97508,0.076692,10.716176,83.816163,0,64.638645
14586.05342,0.454145,4881.062287,0,0.15784,0.016917,0.044557,0,0.23483,8903.661593,9704.991136,6471.813404,2372.073461,59.774728,0,1696.435672,181.825741,478.894018,0,2523.906857,7054.27661,2585.560073,65.154453,64.893395,64,95,0.003599,27.066303,0.376602,31.280003,31.280003,0,0,83.297429,0,187.29423,1.676477,0.552951,64.67967,124.998362,3883.088042,0,0,842.564242,10.985106,83.297429,145.01438,42.095,33.731865,20.105,61.095585,0.002286,0,0,0,0.716667,60,0.97508,0.076805,10.009952,83.31427,0,64.638645
12883.3351,0.458931,4932.501537,0,0.177199,0.011278,0.04274,0,0.227714,7294.342721,7950.833566,7260.185734,0,34.156987,0,1904.503307,121.21716,459.35624,0,2447.424831,7913.60245,0,37.231116,64.986407,64,95,0.003625,27.17023,0.451046,32.232946,32.232946,0,0,93.410562,0,155.862222,0,0,64.639488,124.944528,4356.11144,0,0,0,2.746276,93.410562,144.770466,41.3,33.445949,20.9,61.095585,0.002352,0,0,0,0.858333,60,0.97508,0.076919,9.37624,82.865207,0,64.638645
14412.7061,0.459673,4940.472782,0,0.186157,0.011278,0.04164,0,0.220598,8690.12231,9472.233318,7550.820624,1105.144699,34.156987,0,2000.77401,121.21716,447.538807,0,2370.942805,8230.39448,1204.607722,37.231116,65.010145,64,95,0.003647,27.314614,0.503595,33.038546,33.038546,0,0,97.113341,0,158.805625,0,0,64.639488,124.944528,4530.492374,0,0,0,2.746276,97.113341,144.519694,40.58,33.22675,21.62,61.095585,0.002427,0,0,0,0.958333,60,0.97508,0.077021,8.927032,82.548222,0,64.638645
15233.33491,0.479343,5151.883022,0,0.197831,0.012539,0.041259,0,0.227714,9249.038429,10081.45189,8084.122695,1105.141007,59.774728,0,2126.250266,134.766204,443.44172,0,2447.424831,8811.693737,1204.603697,65.154453,65.065005,64,95,0.003671,27.43819,0.586798,33.978888,33.978888,0,0,103.933205,0,170.778293,0,0,64.639488,124.944528,4850.473617,0,0,0,10.985106,103.933205,144.270444,39.86,33.048449,22.34,61.095585,0.002519,0,0,0,1.116667,60,0.97508,0.07712,8.476528,82.231237,0,64.638645
